Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
17,5357679,,4.0,18.0,Угсармалын гал тогоо тусдаа 3 өрөө байр 80м2,170 сая ₮,2024-03-27,23:00,,3 өрөө,"УБ — Баянгол, 3, 4 хороолол","
Энэ байранд амьдардаг хүн тул байрныхаа талаархи бүх төрлийн мэдээллийг өгөх боломжтой.
 Төв зам дагуу байрласан,
 Парадокс буудлын яг хажууд,
 47-р сургуулийн яг хойно,
 198-р цэцэрлэгийн баруун хойно,
 Хүнсний захууд,
 Номин их дэлгүүр,
 Жүр үр бялууны газар,
 Өргөө кино театр,
 KFC.
 Хүүхдээ тоглуулья гэвэл урд талын байрны тоглоомын том талбай, олон хүүхэдтэй тоглох нөхөрлөх боломж,
 Хажуу талд нь 47-р сургуулийн том цэлгэр талбайд орвол дугуй, ролик унах, гүйж харайх, нялх нярайтай ээжүүд салхилах боломжтой,
 байрандаа цайны газар, шүдний эмнэлэг, эмэгтэйчүүдийн эмнэлэгтэй
 байрныхаа бөөрөндөө CU, GS25 дэлгүүр, 2 эмийн сантай
 баруун урд талд Шатахуун түгээгүүртэй,
 автозасвар, худалдааны төвтэй",https://www.unegui.mn/adv/5357679_arsan-gutal-zarna/,Паркет,2 тагттай,1985.0,Байхгүй,Вакум,12.0,Бүргэд,80.0 м²,12.0,Лизинггүй,5.0,Ашиглалтад орсон
4,5470523,"3.8 сая ₮
Арцат апартмент 80 мкв 3 өрөө artsat 1t
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",129.0,5.0,,,,,,,,,,,,,,,,,,,,,
9,5603697,"2.6 сая ₮
Зэндмэнэ эрдэнэ хотхоны 1а блокт 2 өрөө байр 53.81м2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",143.0,10.0,,,,,,,,,,,,,,,,,,,,,
2,5736213,"490 сая ₮
Зайсангийн гэрэлт хотхонд 125м2 4 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",144.0,3.0,,,,,,,,,,,,,,,,,,,,,
54,5747342,"143.09 сая ₮ 180 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",120.0,55.0,,,,,,,,,,,,,,,,,,,,,
14,5810659,"2.45 сая ₮ 2.8 сая ₮
Хануул дүүрэг 4 өрөө байр 139м2
4 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",154.0,15.0,,,,,,,,,,,,,,,,,,,,,
51,5815321,"171.94 сая ₮
Хангай хотхоны хойно, арга билиг хотхонд 53.73мкв 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",129.0,52.0,,,,,,,,,,,,,,,,,,,,,
18,5837091,"3.6 сая ₮
Худ- т 2 өрөө байр 47m2
1 долоо хоногийн өмнө
УБ — Хан-Уул, 19-р хороолол",81.0,19.0,,,,,,,,,,,,,,,,,,,,,
32,5850660,"800 сая ₮
Royal castle хотхонд 5 өрөө байр 240мкв
6 өдрийн өмнө
УБ — Баянзүрх, Сансар",69.0,33.0,,,,,,,,,,,,,,,,,,,,,
47,5858154,"350 сая ₮
50 мянгатын 3 өрөө 80м2 байр
2 долоо хоногийн өмнө
УБ — Чингэлтэй, 50 мянгат",125.0,48.0,,,,,,,,,,,,,,,,,,,,,
